{datetime.datetime(2017, 1, 19, 14, 55): {u'localized_display_name': u'POOL', u'distance': 9.07, u'display_name': u'POOL', u'product_id': u'ee3ab307-e340-4406-b5ec-9f8c3b43075a', u'high_estimate': 11, u'duration': 1200, u'minimum': None, u'low_estimate': 8, u'surge_multiplier': 1.0, u'estimate': u'$8-10', u'currency_code': u'USD'}}
{datetime.datetime(2017, 1, 19, 14, 56): {u'localized_display_name': u'POOL', u'distance': 9.07, u'display_name': u'POOL', u'product_id': u'ee3ab307-e340-4406-b5ec-9f8c3b43075a', u'high_estimate': 11, u'duration': 1200, u'minimum': None, u'low_estimate': 8, u'surge_multiplier': 1.0, u'estimate': u'$8-10', u'currency_code': u'USD'}}
{datetime.datetime(2017, 1, 19, 14, 57): {u'localized_display_name': u'POOL', u'distance': 9.07, u'display_name': u'POOL', u'product_id': u'ee3ab307-e340-4406-b5ec-9f8c3b43075a', u'high_estimate': 11, u'duration': 1200, u'minimum': None, u'low_estimate': 8, u'surge_multiplier': 1.0, u'estimate': u'$8-10', u'currency_code': u'USD'}}
{datetime.datetime(2017, 1, 19, 14, 58): {u'localized_display_name': u'POOL', u'distance': 9.07, u'display_name': u'POOL', u'product_id': u'ee3ab307-e340-4406-b5ec-9f8c3b43075a', u'high_estimate': 11, u'duration': 1200, u'minimum': None, u'low_estimate': 8, u'surge_multiplier': 1.0, u'estimate': u'$8-10', u'currency_code': u'USD'}}
{datetime.datetime(2017, 1, 19, 15, 1): {u'localized_display_name': u'POOL', u'distance': 9.07, u'display_name': u'POOL', u'product_id': u'ee3ab307-e340-4406-b5ec-9f8c3b43075a', u'high_estimate': 11, u'duration': 1200, u'minimum': None, u'low_estimate': 8, u'surge_multiplier': 1.0, u'estimate': u'$8-10', u'currency_code': u'USD'}}
{datetime.datetime(2017, 1, 19, 15, 7): {u'localized_display_name': u'POOL', u'distance': 9.06, u'display_name': u'POOL', u'product_id': u'ee3ab307-e340-4406-b5ec-9f8c3b43075a', u'high_estimate': 12, u'duration': 1380, u'minimum': None, u'low_estimate': 8, u'surge_multiplier': 1.0, u'estimate': u'$8-11', u'currency_code': u'USD'}}
{datetime.datetime(2017, 1, 19, 15, 8): {u'localized_display_name': u'POOL', u'distance': 9.06, u'display_name': u'POOL', u'product_id': u'ee3ab307-e340-4406-b5ec-9f8c3b43075a', u'high_estimate': 12, u'duration': 1380, u'minimum': None, u'low_estimate': 8, u'surge_multiplier': 1.0, u'estimate': u'$8-11', u'currency_code': u'USD'}}
{datetime.datetime(2017, 1, 19, 15, 9): {u'localized_display_name': u'POOL', u'distance': 9.06, u'display_name': u'POOL', u'product_id': u'ee3ab307-e340-4406-b5ec-9f8c3b43075a', u'high_estimate': 12, u'duration': 1380, u'minimum': None, u'low_estimate': 8, u'surge_multiplier': 1.0, u'estimate': u'$8-11', u'currency_code': u'USD'}}
{datetime.datetime(2017, 1, 19, 15, 10): {u'localized_display_name': u'POOL', u'distance': 9.06, u'display_name': u'POOL', u'product_id': u'ee3ab307-e340-4406-b5ec-9f8c3b43075a', u'high_estimate': 16, u'duration': 1380, u'minimum': None, u'low_estimate': 11, u'surge_multiplier': 1.0, u'estimate': u'$11-15', u'currency_code': u'USD'}}
{datetime.datetime(2017, 1, 19, 15, 11): {u'localized_display_name': u'POOL', u'distance': 9.06, u'display_name': u'POOL', u'product_id': u'ee3ab307-e340-4406-b5ec-9f8c3b43075a', u'high_estimate': 16, u'duration': 1380, u'minimum': None, u'low_estimate': 11, u'surge_multiplier': 1.0, u'estimate': u'$11-15', u'currency_code': u'USD'}}
{datetime.datetime(2017, 1, 19, 15, 12): {u'localized_display_name': u'POOL', u'distance': 9.06, u'display_name': u'POOL', u'product_id': u'ee3ab307-e340-4406-b5ec-9f8c3b43075a', u'high_estimate': 20, u'duration': 1380, u'minimum': None, u'low_estimate': 15, u'surge_multiplier': 1.0, u'estimate': u'$15-19', u'currency_code': u'USD'}}
